"sensor1","sensor2","sensor3","sensor4","sensor5"
19.8,14.6,6.5,3.3,3.1
19.8,14.6,6.5,3.3,3.1
19.7,14.6,6.5,3.2,3
19.6,14.6,6.5,3.2,3
19.6,14.6,6.4,3.2,2.9
19.5,14.6,6.4,3.2,2.9
19.5,14.6,6.4,3.2,2.9
19.5,14.6,6.4,3.1,2.9
19.4,14.6,6.4,3.1,2.9
19.4,14.6,6.4,3.1,2.8
19.4,14.7,6.4,3.1,2.8
19.3,14.7,6.4,3.1,2.8
19.3,14.7,6.4,3.1,2.8
19.3,14.7,6.3,3.1,2.8
19.2,14.7,6.3,3.1,2.8
19.2,14.7,6.3,3.1,2.8
19.1,14.8,6.3,3.1,2.8
19.1,14.8,6.3,3.1,2.7
19.1,14.8,6.3,3.1,2.7
19,14.8,6.3,3.1,2.7
19,14.8,6.3,3.1,2.7
19,14.8,6.3,3,2.7
18.9,14.8,6.3,3,2.7
18.9,14.8,6.2,3,2.7
18.8,14.8,6.2,3,2.6
18.8,14.9,6.2,3,2.6
18.8,14.9,6.2,3,2.6
18.7,14.9,6.1,3,2.6
18.7,14.9,6.1,3,2.6
18.7,14.9,6.1,3,2.6
18.6,14.9,6.1,3,2.6
18.6,14.9,6.1,3,2.6
18.6,15,6.1,2.9,2.6
18.6,15,6.1,2.9,2.6
18.6,15.1,6.1,2.9,2.6
18.5,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.4,15.1,6.1,2.9,2.6
18.3,15.2,6.1,2.9,2.6
18.3,15.2,6,2.9,2.6
18.3,15.2,6,2.9,2.6
18.3,15.2,6,2.9,2.5
18.2,15.3,6,2.9,2.5
18.2,15.3,6,2.9,2.6
18.2,15.3,6,2.9,2.5
18.2,15.3,6,2.9,2.5
18.1,15.3,6,2.9,2.5
18.1,15.3,6,2.9,2.5
18.1,15.3,5.9,2.9,2.5
18,15.3,5.9,2.9,2.5
18,15.3,5.9,2.9,2.5
18,15.4,5.9,2.9,2.5
18,15.4,5.9,2.9,2.5
18,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.9,15.4,5.9,2.9,2.5
17.8,15.4,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.8,15.5,5.9,2.9,2.5
17.7,15.6,5.9,2.9,2.5
17.7,15.6,5.9,2.9,2.5
