"sensor1","sensor2","sensor3","sensor4","sensor5"
17.7,15.6,5.9,2.9,2.4
17.7,15.6,5.9,2.9,2.4
17.7,15.6,5.9,2.9,2.5
17.6,15.6,5.8,2.9,2.4
17.6,15.6,5.8,2.9,2.5
17.6,15.6,5.8,2.9,2.5
17.6,15.6,5.8,3,2.5
17.6,15.6,5.8,3.1,2.4
17.6,15.6,5.8,3.1,2.4
17.6,15.6,5.8,3.1,2.5
17.6,15.6,5.8,3.2,2.4
17.6,15.7,5.8,3.2,2.4
17.5,15.7,5.8,3.3,2.4
17.5,15.7,5.8,3.3,2.5
17.5,15.7,5.8,3.3,2.4
17.5,15.7,5.8,3.3,2.4
17.5,15.7,5.8,3.4,2.4
17.5,15.7,5.8,3.4,2.4
17.4,15.8,5.8,3.4,2.4
17.4,15.8,5.8,3.4,2.4
17.4,15.8,5.8,3.5,2.4
17.4,15.8,5.8,3.5,2.4
17.4,15.8,5.8,3.5,2.4
17.4,15.8,5.8,3.5,2.4
17.4,15.8,5.8,3.6,2.4
17.4,15.8,5.8,3.6,2.4
17.4,15.8,5.8,3.6,2.4
17.4,15.8,5.8,3.6,2.4
17.4,15.8,5.8,3.6,2.4
17.4,15.8,5.8,3.6,2.4
17.3,15.8,5.8,3.6,2.4
17.3,15.8,5.8,3.6,2.4
17.3,15.8,5.8,3.7,2.4
17.3,15.9,5.8,3.7,2.4
17.3,15.9,5.8,3.7,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.3,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.2,15.9,5.8,3.8,2.4
17.1,15.9,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.5
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16,5.8,3.9,2.4
17.1,16.1,5.8,3.9,2.5
17.1,16.1,5.8,3.9,2.4
17.1,16.1,5.8,3.9,2.5
17.1,16.1,5.8,3.9,2.4
17.1,16.1,5.8,3.9,2.5
17.1,16.1,5.8,3.9,2.5
17.1,16.1,5.8,3.8,2.4
17.1,16.1,5.8,3.8,2.4
17,16.1,5.8,3.9,2.4
17,16.1,5.8,3.8,2.5
17.1,16.1,5.8,3.8,2.5
17,16.1,5.8,3.8,2.4
17,16.1,5.8,3.8,2.4
17,16.1,5.8,3.8,2.5
17,16.1,5.8,3.8,2.5
17,16.1,5.8,3.8,2.5
17,16.1,5.8,3.8,2.5
17,16.1,5.8,3.6,2.5
17,16.1,5.8,3.5,2.5
17,16.1,5.8,3.4,2.4
17,16.1,5.8,3.2,2.4
17,16.1,5.8,3,2.4
17,16.1,5.8,2.9,2.4
17,16.1,5.8,2.8,2.4
17,16.2,5.8,2.8,2.4
17,16.2,5.8,2.6,2.4
17,16.2,5.8,2.5,2.4
17,16.2,5.8,2.4,2.4
17,16.2,5.8,2.4,2.4
17,16.2,5.8,2.3,2.4
16.9,16.2,5.8,2.3,2.4
16.9,16.3,5.8,2.3,2.4
17,16.3,5.8,2.3,2.4
17,16.3,5.8,2.2,2.4
16.9,16.3,5.8,2.1,2.4
16.9,16.3,5.8,2.1,2.4
16.9,16.3,5.8,2.1,2.4
16.9,16.3,5.8,2.1,2.4
16.9,16.3,5.8,2.1,2.3
16.9,16.3,5.8,2,2.3
16.9,16.3,5.8,2,2.4
16.9,16.3,5.8,2,2.3
16.9,16.3,5.8,1.9,2.3
16.9,16.3,5.8,1.9,2.3
16.9,16.3,5.8,1.9,2.3
16.9,16.3,5.8,1.9,2.3
16.9,16.3,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.9,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.4,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.5,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.8,2.3
16.9,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.9,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.3
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.7,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.6,5.7,1.9,2.4
16.8,16.6,5.8,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.6,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.7,1.9,2.4
16.8,16.7,5.8,1.9,2.4
16.8,16.7,5.7,1.9,2.4
