"sensor1","sensor2","sensor3","sensor4","sensor5"
23.2,3.3,5.8,5.9,4.9
23.1,3.3,5.8,5.9,4.9
22.9,3.3,5.8,5.9,4.9
22.9,3.3,5.8,5.9,4.9
22.8,3.3,5.8,5.9,4.9
22.6,3.3,5.8,5.9,4.9
22.6,3.3,5.8,5.9,5
22.5,3.3,5.8,5.9,5
22.5,3.3,5.8,5.9,4.9
22.4,3.3,5.8,5.9,5
22.3,3.3,5.8,5.9,5
22.1,3.3,5.8,5.9,5
22.1,3.3,5.8,5.9,5
22.1,3.3,5.8,5.9,5
22,3.3,5.8,5.9,5
21.9,3.3,5.8,5.9,5
21.9,3.3,5.8,5.9,5
21.8,3.3,5.8,5.9,5
21.8,3.3,5.8,5.9,5
21.8,3.3,5.8,5.9,5
21.8,3.3,5.8,5.9,5.1
21.6,3.3,5.8,6,5.1
21.6,3.3,5.8,6,5.1
21.6,3.3,5.8,6,5.1
21.4,3.3,5.8,6,5.1
21.3,3.3,5.8,6,5.1
21.3,3.3,5.8,6,5.1
21.3,3.3,5.8,6,5.1
21.3,3.3,5.8,6,5.1
21.2,3.3,5.8,6,5.1
21.1,3.3,5.8,6,5.1
21.1,3.3,5.8,6.1,5.1
21.1,3.3,5.8,6,5.1
21,3.3,5.8,6.1,5.1
20.9,3.3,5.8,6.1,5.1
20.8,3.3,5.8,6.1,5.1
20.8,3.3,5.8,6.1,5.1
20.8,3.3,5.8,6.1,5.1
20.8,3.3,5.8,6.1,5.1
20.7,3.3,5.8,6.1,5.1
20.6,3.3,5.8,6.1,5.1
20.6,3.3,5.8,6.1,5.1
20.6,3.3,5.8,6.1,5.1
20.6,3.3,5.8,6.1,5.1
20.5,3.3,5.8,6.1,5.1
20.5,3.3,5.8,6.1,5.1
20.4,3.3,5.8,6.1,5.1
20.4,3.3,5.8,6.1,5.1
20.4,3.3,5.8,6.1,5.1
20.3,3.3,5.8,6.1,5.1
20.3,3.3,5.8,6.1,5.1
20.3,3.3,5.8,6.1,5.1
20.2,3.3,5.8,6.2,5.1
20.2,3.3,5.8,6.2,5.1
20.1,3.3,5.8,6.2,5.1
20.1,3.3,5.8,6.2,5.1
20.1,3.3,5.8,6.2,5.1
20.1,3.3,5.8,6.2,5.1
20,3.3,5.8,6.2,5.1
20,3.3,5.8,6.2,5.1
20,3.3,5.8,6.2,5.1
19.9,3.3,5.8,6.3,5.1
19.9,3.4,5.8,6.2,5.1
19.9,3.4,5.8,6.3,5.1
19.9,3.4,5.8,6.3,5.1
19.8,3.3,5.8,6.3,5.1
19.8,3.4,5.8,6.3,5.1
19.8,3.4,5.8,6.3,5.1
19.7,3.3,5.8,6.3,5.1
19.8,3.4,5.8,6.3,5.1
19.7,3.4,5.8,6.3,5.1
19.7,3.4,5.8,6.3,5.1
