"sensor1","sensor2","sensor3","sensor4","sensor5"
17.6,16.8,5.8,4.4,2.5
17.6,16.8,5.9,4.8,2.5
17.8,16.8,5.9,5.1,2.6
17.8,16.9,5.9,5.4,2.6
17.8,16.9,5.9,5.6,2.6
17.9,16.9,5.9,5.9,2.6
17.9,16.9,5.9,6.1,2.6
17.9,16.9,5.9,6.4,2.6
18,16.9,6,6.8,2.7
18,17,6,7.1,2.6
18.1,17,6,7.3,2.7
18.1,17.1,6,7.5,2.7
18.1,17.1,6.1,7.9,2.7
18.1,17.1,6.1,8.1,2.8
18.2,17.1,6.1,8.3,2.8
18.2,17.1,6.1,8.5,2.8
18.2,17.2,6.1,8.7,2.8
18.3,17.2,6.1,8.8,2.8
18.3,17.2,6.2,9,2.8
18.3,17.3,6.2,9.2,2.8
18.3,17.3,6.2,9.3,2.8
18.3,17.3,6.3,9.3,2.8
18.4,17.3,6.3,9.6,2.9
18.4,17.3,6.3,9.6,2.8
18.4,17.4,6.3,10.1,2.9
18.4,17.4,6.3,10.3,2.9
18.4,17.4,6.3,10.4,2.9
18.4,17.4,6.3,10.6,2.9
18.5,17.4,6.4,10.7,2.9
18.5,17.4,6.4,10.9,2.9
18.5,17.5,6.4,11.1,2.9
18.5,17.5,6.4,11.2,2.9
18.6,17.5,6.4,11.3,2.9
18.6,17.6,6.4,11.3,3
18.6,17.6,6.4,11.5,3
18.6,17.6,6.5,11.6,3
18.6,17.6,6.5,11.7,3
18.6,17.6,6.5,11.8,3
18.7,17.6,6.6,11.9,3
18.7,17.6,6.6,12.1,3
18.7,17.7,6.6,12.2,3
18.8,17.7,6.6,12.3,3.1
18.8,17.7,6.6,12.3,3
18.8,17.8,6.6,12.4,3
18.8,17.8,6.6,12.5,3.1
18.8,17.8,6.6,12.6,3.1
18.8,17.8,6.6,12.6,3.1
18.8,17.8,6.6,12.7,3.1
18.8,17.8,6.6,12.8,3.1
18.8,17.9,6.6,12.8,3.1
18.8,17.9,6.7,12.9,3.1
18.8,17.9,6.7,12.9,3.1
18.9,17.9,6.7,13,3.1
18.9,17.9,6.7,13.1,3.1
18.9,17.9,6.7,13.1,3.1
18.9,17.9,6.7,13.2,3.1
18.9,18,6.7,13.3,3.1
18.9,18,6.8,13.3,3.2
18.9,18,6.8,13.3,3.1
18.9,18,6.8,13.4,3.1
18.9,18.1,6.8,13.4,3.1
18.9,18.1,6.8,13.5,3.2
18.9,18.1,6.8,13.6,3.2
18.9,18.1,6.8,13.6,3.2
19,18.1,6.8,13.6,3.2
19,18.1,6.8,13.7,3.2
19,18.1,6.8,13.7,3.2
